date,gx_vibration_g.value
11/14/2025 4:22:00.002000000 PM,-0.6220703125
11/14/2025 4:22:00.038000000 PM,-0.091796875
11/14/2025 4:22:00.077000000 PM,-0.291015625
11/14/2025 4:22:00.115000000 PM,-0.177734375
11/14/2025 4:22:00.150000000 PM,0.12890625
11/14/2025 4:22:00.188000000 PM,-0.0517578125
11/14/2025 4:22:00.224000000 PM,-0.2470703125
11/14/2025 4:22:00.263000000 PM,-0.3203125
11/14/2025 4:22:00.302000000 PM,-0.3388671875
11/14/2025 4:22:00.338000000 PM,-0.6943359375
11/14/2025 4:22:00.376000000 PM,0.1318359375
11/14/2025 4:22:00.411000000 PM,-0.2138671875
11/14/2025 4:22:00.450000000 PM,0.0546875
11/14/2025 4:22:00.488000000 PM,-0.4462890625
11/14/2025 4:22:00.524000000 PM,0.20703125
11/14/2025 4:22:00.563000000 PM,-0.0693359375
11/14/2025 4:22:00.598000000 PM,-0.146484375
11/14/2025 4:22:00.638000000 PM,-0.32421875
11/14/2025 4:22:00.676000000 PM,-0.681640625
11/14/2025 4:22:00.711000000 PM,-0.3662109375
11/14/2025 4:22:00.750000000 PM,-0.19140625
11/14/2025 4:22:00.785000000 PM,-0.109375
11/14/2025 4:22:00.824000000 PM,-0.64453125
11/14/2025 4:22:00.859000000 PM,0.603515625
11/14/2025 4:22:00.898000000 PM,-0.3154296875
11/14/2025 4:22:00.937000000 PM,-0.078125
11/14/2025 4:22:00.973000000 PM,-0.9658203125
11/14/2025 4:22:01.011000000 PM,-0.4130859375
11/14/2025 4:22:01.049000000 PM,-0.1435546875
11/14/2025 4:22:01.085000000 PM,0.2392578125
11/14/2025 4:22:01.124000000 PM,0.21484375
11/14/2025 4:22:01.159000000 PM,-0.033203125
11/14/2025 4:22:01.197000000 PM,-0.2373046875
11/14/2025 4:22:01.236000000 PM,-0.4833984375
11/14/2025 4:22:01.271000000 PM,-0.08203125
11/14/2025 4:22:01.309000000 PM,-0.34375
11/14/2025 4:22:01.345000000 PM,0.23828125
11/14/2025 4:22:01.383000000 PM,0.201171875
11/14/2025 4:22:01.419000000 PM,-0.37109375
11/14/2025 4:22:01.457000000 PM,-0.33984375
11/14/2025 4:22:01.495000000 PM,0.1484375
11/14/2025 4:22:01.531000000 PM,0.064453125
11/14/2025 4:22:01.574000000 PM,-0.462890625
11/14/2025 4:22:01.610000000 PM,-0.630859375
11/14/2025 4:22:01.649000000 PM,-0.9775390625
11/14/2025 4:22:01.687000000 PM,-0.017578125
11/14/2025 4:22:01.723000000 PM,-0.1669921875
11/14/2025 4:22:01.761000000 PM,-0.2412109375
11/14/2025 4:22:01.798000000 PM,-0.2724609375
11/14/2025 4:22:01.838000000 PM,-0.431640625
