date,gy_vibration_g.value
11/14/2025 4:22:00.007000000 PM,-0.037109375
11/14/2025 4:22:00.046000000 PM,0.392578125
11/14/2025 4:22:00.082000000 PM,-0.2197265625
11/14/2025 4:22:00.120000000 PM,-0.279296875
11/14/2025 4:22:00.155000000 PM,-0.955078125
11/14/2025 4:22:00.193000000 PM,-0.1728515625
11/14/2025 4:22:00.229000000 PM,-0.494140625
11/14/2025 4:22:00.268000000 PM,-0.390625
11/14/2025 4:22:00.307000000 PM,-0.484375
11/14/2025 4:22:00.342000000 PM,-0.5966796875
11/14/2025 4:22:00.380000000 PM,0.443359375
11/14/2025 4:22:00.417000000 PM,-0.30078125
11/14/2025 4:22:00.455000000 PM,0.064453125
11/14/2025 4:22:00.493000000 PM,-0.337890625
11/14/2025 4:22:00.529000000 PM,0.4443359375
11/14/2025 4:22:00.567000000 PM,-0.33984375
11/14/2025 4:22:00.603000000 PM,0.0654296875
11/14/2025 4:22:00.643000000 PM,0.1044921875
11/14/2025 4:22:00.681000000 PM,-0.2294921875
11/14/2025 4:22:00.716000000 PM,-0.0908203125
11/14/2025 4:22:00.755000000 PM,-0.5986328125
11/14/2025 4:22:00.790000000 PM,-0.044921875
11/14/2025 4:22:00.829000000 PM,-1.060546875
11/14/2025 4:22:00.867000000 PM,0.7421875
11/14/2025 4:22:00.903000000 PM,-0.3681640625
11/14/2025 4:22:00.942000000 PM,-0.22265625
11/14/2025 4:22:00.978000000 PM,-0.2880859375
11/14/2025 4:22:01.016000000 PM,0.2724609375
11/14/2025 4:22:01.054000000 PM,-0.095703125
11/14/2025 4:22:01.090000000 PM,-0.0732421875
11/14/2025 4:22:01.129000000 PM,0.173828125
11/14/2025 4:22:01.164000000 PM,0.5546875
11/14/2025 4:22:01.202000000 PM,-0.119140625
11/14/2025 4:22:01.241000000 PM,-0.6875
11/14/2025 4:22:01.276000000 PM,0.3486328125
11/14/2025 4:22:01.314000000 PM,-0.716796875
11/14/2025 4:22:01.350000000 PM,0.4384765625
11/14/2025 4:22:01.388000000 PM,0.0380859375
11/14/2025 4:22:01.426000000 PM,-0.6796875
11/14/2025 4:22:01.462000000 PM,0.236328125
11/14/2025 4:22:01.500000000 PM,-0.015625
11/14/2025 4:22:01.536000000 PM,0.0830078125
11/14/2025 4:22:01.579000000 PM,-0.4638671875
11/14/2025 4:22:01.618000000 PM,0.095703125
11/14/2025 4:22:01.654000000 PM,-0.4560546875
11/14/2025 4:22:01.692000000 PM,-0.1572265625
