date,gy_vibration_g.value
11/28/2025 3:00:00.035000000 PM,1.412109375
11/28/2025 3:00:00.073000000 PM,0.9169921875
11/28/2025 3:00:00.114000000 PM,1.2509765625
11/28/2025 3:00:00.155000000 PM,1.3037109375
11/28/2025 3:00:00.194000000 PM,0.8134765625
11/28/2025 3:00:00.235000000 PM,1.2939453125
11/28/2025 3:00:00.274000000 PM,0.5927734375
11/28/2025 3:00:00.316000000 PM,1.341796875
11/28/2025 3:00:00.358000000 PM,1.5595703125
11/28/2025 3:00:00.397000000 PM,0.48046875
11/28/2025 3:00:00.438000000 PM,0.9423828125
11/28/2025 3:00:00.478000000 PM,1.2958984375
11/28/2025 3:00:00.520000000 PM,0.296875
11/28/2025 3:00:00.561000000 PM,1.521484375
11/28/2025 3:00:00.600000000 PM,1.365234375
11/28/2025 3:00:00.642000000 PM,0.3115234375
11/28/2025 3:00:00.681000000 PM,1.7529296875
11/28/2025 3:00:00.723000000 PM,0.9619140625
11/28/2025 3:00:00.765000000 PM,0.8193359375
11/28/2025 3:00:00.804000000 PM,1.2021484375
11/28/2025 3:00:00.846000000 PM,1.3369140625
11/28/2025 3:00:00.885000000 PM,0.921875
11/28/2025 3:00:00.928000000 PM,1.310546875
11/28/2025 3:00:00.969000000 PM,0.6328125
11/28/2025 3:00:01.008000000 PM,0.55859375
11/28/2025 3:00:01.050000000 PM,1.029296875
11/28/2025 3:00:01.088000000 PM,0.890625
11/28/2025 3:00:01.131000000 PM,0.5849609375
11/28/2025 3:00:01.169000000 PM,1.6396484375
11/28/2025 3:00:01.212000000 PM,1.5341796875
11/28/2025 3:00:01.255000000 PM,1.3720703125
11/28/2025 3:00:01.294000000 PM,1.0576171875
11/28/2025 3:00:01.337000000 PM,1.271484375
11/28/2025 3:00:01.382000000 PM,0.408203125
11/28/2025 3:00:01.424000000 PM,1.13671875
11/28/2025 3:00:01.466000000 PM,1.0322265625
11/28/2025 3:00:01.505000000 PM,0.8359375
11/28/2025 3:00:01.547000000 PM,1.201171875
11/28/2025 3:00:01.587000000 PM,0.9423828125
11/28/2025 3:00:01.629000000 PM,0.3583984375
11/28/2025 3:00:01.671000000 PM,1.013671875
11/28/2025 3:00:01.711000000 PM,1.287109375
11/28/2025 3:00:01.753000000 PM,1.2998046875
11/28/2025 3:00:01.802000000 PM,1.0263671875
11/28/2025 3:00:01.860000000 PM,0.9580078125
11/28/2025 3:00:01.905000000 PM,1.0830078125
11/28/2025 3:00:01.945000000 PM,1.171875
11/28/2025 3:00:01.991000000 PM,1.3466796875
11/28/2025 3:00:02.030000000 PM,0.0087890625
11/28/2025 3:00:02.072000000 PM,1.041015625
11/28/2025 3:00:02.113000000 PM,1.400390625
11/28/2025 3:00:02.152000000 PM,0.9619140625
11/28/2025 3:00:02.194000000 PM,1.0009765625
11/28/2025 3:00:02.233000000 PM,1.3212890625
11/28/2025 3:00:02.276000000 PM,1.095703125
11/28/2025 3:00:02.318000000 PM,1.3046875
11/28/2025 3:00:02.357000000 PM,1.6181640625
11/28/2025 3:00:02.399000000 PM,1.2099609375
11/28/2025 3:00:02.439000000 PM,0.951171875
11/28/2025 3:00:02.481000000 PM,1.3232421875
11/28/2025 3:00:02.520000000 PM,0.4853515625
11/28/2025 3:00:02.562000000 PM,0.9150390625
11/28/2025 3:00:02.604000000 PM,1.0830078125
11/28/2025 3:00:02.643000000 PM,0.59765625
11/28/2025 3:00:02.685000000 PM,0.517578125
11/28/2025 3:00:02.724000000 PM,1.2177734375
11/28/2025 3:00:02.767000000 PM,1.03515625
11/28/2025 3:00:02.809000000 PM,1.0478515625
11/28/2025 3:00:02.848000000 PM,1.365234375
11/28/2025 3:00:02.890000000 PM,1.453125
11/28/2025 3:00:02.930000000 PM,0.630859375
11/28/2025 3:00:02.971000000 PM,1.0166015625
11/28/2025 3:00:03.013000000 PM,1.34375
11/28/2025 3:00:03.052000000 PM,0.3974609375
11/28/2025 3:00:03.093000000 PM,1.48828125
11/28/2025 3:00:03.133000000 PM,0.7109375
11/28/2025 3:00:03.175000000 PM,0.623046875
11/28/2025 3:00:03.217000000 PM,1.341796875
11/28/2025 3:00:03.256000000 PM,1.5361328125
11/28/2025 3:00:03.298000000 PM,0.6904296875
11/28/2025 3:00:03.337000000 PM,1.3564453125
11/28/2025 3:00:03.379000000 PM,1.0849609375
11/28/2025 3:00:03.420000000 PM,0.9853515625
11/28/2025 3:00:03.459000000 PM,1.1103515625
11/28/2025 3:00:03.500000000 PM,1.3388671875
11/28/2025 3:00:03.539000000 PM,0.85546875
11/28/2025 3:00:03.580000000 PM,1.306640625
11/28/2025 3:00:03.621000000 PM,0.8720703125
11/28/2025 3:00:03.660000000 PM,1.3154296875
11/28/2025 3:00:03.701000000 PM,1.1806640625
11/28/2025 3:00:03.740000000 PM,1.16796875
11/28/2025 3:00:03.781000000 PM,1.177734375
11/28/2025 3:00:03.823000000 PM,0.40625
11/28/2025 3:00:03.863000000 PM,1.33203125
11/28/2025 3:00:03.904000000 PM,1.1650390625
11/28/2025 3:00:03.942000000 PM,0.2763671875
11/28/2025 3:00:03.983000000 PM,1.220703125
11/28/2025 3:00:04.025000000 PM,0.8515625
11/28/2025 3:00:04.064000000 PM,0.796875
11/28/2025 3:00:04.105000000 PM,1.4560546875
11/28/2025 3:00:04.144000000 PM,1.0576171875
11/28/2025 3:00:04.190000000 PM,1.255859375
11/28/2025 3:00:04.232000000 PM,0.6142578125
11/28/2025 3:00:04.271000000 PM,1.626953125
11/28/2025 3:00:04.313000000 PM,1.6904296875
11/28/2025 3:00:04.352000000 PM,1.0419921875
11/28/2025 3:00:04.394000000 PM,1.3935546875
11/28/2025 3:00:04.432000000 PM,0.7578125
11/28/2025 3:00:04.475000000 PM,0.3408203125
11/28/2025 3:00:04.518000000 PM,0.533203125
11/28/2025 3:00:04.557000000 PM,1.6435546875
11/28/2025 3:00:04.599000000 PM,0.51953125
11/28/2025 3:00:04.638000000 PM,1.244140625
11/28/2025 3:00:04.680000000 PM,1.16015625
11/28/2025 3:00:04.722000000 PM,1.298828125
11/28/2025 3:00:04.761000000 PM,0.806640625
11/28/2025 3:00:04.803000000 PM,1.2890625
11/28/2025 3:00:04.842000000 PM,0.5712890625
11/28/2025 3:00:04.883000000 PM,0.5537109375
11/28/2025 3:00:04.925000000 PM,1.2216796875
11/28/2025 3:00:04.964000000 PM,1.2890625
11/28/2025 3:00:05.006000000 PM,0.7421875
11/28/2025 3:00:05.045000000 PM,1.4970703125
11/28/2025 3:00:05.086000000 PM,1.0654296875
11/28/2025 3:00:05.128000000 PM,1.146484375
