date,hall_switch.value
11/28/2025 3:00:00.023000000 PM,0
11/28/2025 3:00:00.061000000 PM,1
11/28/2025 3:00:00.103000000 PM,0
11/28/2025 3:00:00.141000000 PM,0
11/28/2025 3:00:00.182000000 PM,0
11/28/2025 3:00:00.223000000 PM,0
11/28/2025 3:00:00.262000000 PM,0
11/28/2025 3:00:00.304000000 PM,0
11/28/2025 3:00:00.343000000 PM,0
11/28/2025 3:00:00.385000000 PM,0
11/28/2025 3:00:00.426000000 PM,0
11/28/2025 3:00:00.466000000 PM,0
11/28/2025 3:00:00.508000000 PM,0
11/28/2025 3:00:00.546000000 PM,0
11/28/2025 3:00:00.589000000 PM,0
11/28/2025 3:00:00.630000000 PM,0
11/28/2025 3:00:00.669000000 PM,0
11/28/2025 3:00:00.711000000 PM,0
11/28/2025 3:00:00.750000000 PM,0
11/28/2025 3:00:00.792000000 PM,0
11/28/2025 3:00:00.835000000 PM,0
11/28/2025 3:00:00.873000000 PM,0
11/28/2025 3:00:00.916000000 PM,0
11/28/2025 3:00:00.954000000 PM,0
11/28/2025 3:00:00.996000000 PM,0
11/28/2025 3:00:01.038000000 PM,0
11/28/2025 3:00:01.077000000 PM,0
11/28/2025 3:00:01.119000000 PM,0
11/28/2025 3:00:01.158000000 PM,0
11/28/2025 3:00:01.199000000 PM,0
11/28/2025 3:00:01.243000000 PM,0
11/28/2025 3:00:01.282000000 PM,0
11/28/2025 3:00:01.325000000 PM,0
11/28/2025 3:00:01.365000000 PM,0
11/28/2025 3:00:01.412000000 PM,0
11/28/2025 3:00:01.451000000 PM,0
11/28/2025 3:00:01.493000000 PM,0
11/28/2025 3:00:01.535000000 PM,0
11/28/2025 3:00:01.575000000 PM,0
11/28/2025 3:00:01.617000000 PM,0
11/28/2025 3:00:01.656000000 PM,0
11/28/2025 3:00:01.698000000 PM,0
11/28/2025 3:00:01.741000000 PM,0
11/28/2025 3:00:01.786000000 PM,0
11/28/2025 3:00:01.843000000 PM,0
11/28/2025 3:00:01.890000000 PM,0
11/28/2025 3:00:01.933000000 PM,0
11/28/2025 3:00:01.979000000 PM,1
11/28/2025 3:00:02.018000000 PM,0
11/28/2025 3:00:02.060000000 PM,0
11/28/2025 3:00:02.099000000 PM,0
11/28/2025 3:00:02.141000000 PM,0
11/28/2025 3:00:02.182000000 PM,0
11/28/2025 3:00:02.221000000 PM,0
11/28/2025 3:00:02.264000000 PM,0
11/28/2025 3:00:02.303000000 PM,0
11/28/2025 3:00:02.345000000 PM,0
11/28/2025 3:00:02.387000000 PM,0
11/28/2025 3:00:02.426000000 PM,0
11/28/2025 3:00:02.469000000 PM,0
11/28/2025 3:00:02.508000000 PM,0
11/28/2025 3:00:02.550000000 PM,0
11/28/2025 3:00:02.593000000 PM,0
11/28/2025 3:00:02.631000000 PM,0
11/28/2025 3:00:02.674000000 PM,0
11/28/2025 3:00:02.713000000 PM,0
11/28/2025 3:00:02.755000000 PM,0
11/28/2025 3:00:02.794000000 PM,0
11/28/2025 3:00:02.836000000 PM,0
11/28/2025 3:00:02.878000000 PM,0
11/28/2025 3:00:02.917000000 PM,1
11/28/2025 3:00:02.959000000 PM,0
11/28/2025 3:00:02.999000000 PM,0
11/28/2025 3:00:03.040000000 PM,0
11/28/2025 3:00:03.081000000 PM,0
11/28/2025 3:00:03.121000000 PM,0
11/28/2025 3:00:03.163000000 PM,0
11/28/2025 3:00:03.202000000 PM,0
11/28/2025 3:00:03.245000000 PM,0
11/28/2025 3:00:03.286000000 PM,0
11/28/2025 3:00:03.325000000 PM,0
11/28/2025 3:00:03.367000000 PM,0
11/28/2025 3:00:03.406000000 PM,0
11/28/2025 3:00:03.447000000 PM,0
11/28/2025 3:00:03.489000000 PM,0
11/28/2025 3:00:03.527000000 PM,0
11/28/2025 3:00:03.569000000 PM,0
11/28/2025 3:00:03.607000000 PM,0
11/28/2025 3:00:03.648000000 PM,0
11/28/2025 3:00:03.690000000 PM,0
11/28/2025 3:00:03.728000000 PM,0
11/28/2025 3:00:03.770000000 PM,0
11/28/2025 3:00:03.808000000 PM,0
11/28/2025 3:00:03.850000000 PM,0
11/28/2025 3:00:03.892000000 PM,1
11/28/2025 3:00:03.930000000 PM,0
11/28/2025 3:00:03.972000000 PM,0
11/28/2025 3:00:04.010000000 PM,0
11/28/2025 3:00:04.052000000 PM,0
11/28/2025 3:00:04.093000000 PM,0
11/28/2025 3:00:04.132000000 PM,0
11/28/2025 3:00:04.178000000 PM,0
11/28/2025 3:00:04.218000000 PM,0
11/28/2025 3:00:04.259000000 PM,0
11/28/2025 3:00:04.301000000 PM,0
11/28/2025 3:00:04.340000000 PM,1
11/28/2025 3:00:04.382000000 PM,0
11/28/2025 3:00:04.421000000 PM,0
11/28/2025 3:00:04.462000000 PM,0
11/28/2025 3:00:04.502000000 PM,0
11/28/2025 3:00:04.545000000 PM,0
11/28/2025 3:00:04.587000000 PM,0
11/28/2025 3:00:04.626000000 PM,0
11/28/2025 3:00:04.668000000 PM,0
11/28/2025 3:00:04.707000000 PM,0
11/28/2025 3:00:04.749000000 PM,0
11/28/2025 3:00:04.791000000 PM,0
11/28/2025 3:00:04.830000000 PM,1
11/28/2025 3:00:04.872000000 PM,0
11/28/2025 3:00:04.910000000 PM,0
11/28/2025 3:00:04.952000000 PM,0
11/28/2025 3:00:04.995000000 PM,0
11/28/2025 3:00:05.033000000 PM,0
11/28/2025 3:00:05.075000000 PM,0
11/28/2025 3:00:05.113000000 PM,0
11/28/2025 3:00:05.156000000 PM,0
11/28/2025 3:00:05.197000000 PM,0
11/28/2025 3:00:05.237000000 PM,0
11/28/2025 3:00:05.279000000 PM,0
11/28/2025 3:00:05.318000000 PM,0
11/28/2025 3:00:05.361000000 PM,0
11/28/2025 3:00:05.402000000 PM,0
11/28/2025 3:00:05.441000000 PM,0
11/28/2025 3:00:05.483000000 PM,0
11/28/2025 3:00:05.522000000 PM,0
11/28/2025 3:00:05.564000000 PM,0
11/28/2025 3:00:05.606000000 PM,0
11/28/2025 3:00:05.645000000 PM,0
11/28/2025 3:00:05.686000000 PM,0
11/28/2025 3:00:05.725000000 PM,0
11/28/2025 3:00:05.768000000 PM,0
11/28/2025 3:00:05.811000000 PM,0
11/28/2025 3:00:05.851000000 PM,0
11/28/2025 3:00:05.894000000 PM,0
11/28/2025 3:00:05.939000000 PM,0
11/28/2025 3:00:05.981000000 PM,0
11/28/2025 3:00:06.021000000 PM,0
11/28/2025 3:00:06.063000000 PM,0
11/28/2025 3:00:06.105000000 PM,0
11/28/2025 3:00:06.145000000 PM,0
11/28/2025 3:00:06.186000000 PM,0
11/28/2025 3:00:06.225000000 PM,0
11/28/2025 3:00:06.267000000 PM,0
11/28/2025 3:00:06.308000000 PM,0
11/28/2025 3:00:06.347000000 PM,0
11/28/2025 3:00:06.393000000 PM,0
11/28/2025 3:00:06.431000000 PM,0
11/28/2025 3:00:06.474000000 PM,0
11/28/2025 3:00:06.515000000 PM,0
11/28/2025 3:00:06.554000000 PM,0
11/28/2025 3:00:06.596000000 PM,0
11/28/2025 3:00:06.635000000 PM,0
11/28/2025 3:00:06.677000000 PM,0
11/28/2025 3:00:06.719000000 PM,0
11/28/2025 3:00:06.758000000 PM,0
11/28/2025 3:00:06.800000000 PM,0
11/28/2025 3:00:06.838000000 PM,0
11/28/2025 3:00:06.883000000 PM,0
11/28/2025 3:00:06.937000000 PM,0
11/28/2025 3:00:06.984000000 PM,0
11/28/2025 3:00:07.025000000 PM,0
11/28/2025 3:00:07.064000000 PM,0
11/28/2025 3:00:07.105000000 PM,0
11/28/2025 3:00:07.148000000 PM,0
11/28/2025 3:00:07.186000000 PM,0
11/28/2025 3:00:07.228000000 PM,0
11/28/2025 3:00:07.266000000 PM,0
11/28/2025 3:00:07.308000000 PM,0
11/28/2025 3:00:07.346000000 PM,0
11/28/2025 3:00:07.387000000 PM,0
11/28/2025 3:00:07.428000000 PM,0
11/28/2025 3:00:07.468000000 PM,0
11/28/2025 3:00:07.508000000 PM,0
11/28/2025 3:00:07.549000000 PM,0
